PLANTNAME,PLANTNUMUNITS,NAMEPLATECAPACITY,NODENAME,PRIMARYFUEL,PRIMEMOVER,UNITNAME
Abbott TP 3,2,1.4,,Water,Hydroelectric Turbine,1
Abbott TP 3,2,1.4,,Water,Hydroelectric Turbine,2
Air Products Port Arthur,5,37.6,,Natural Gas,Gas Turbine,GEN1
Air Products Port Arthur,5,20.5,,Natural Gas,Steam Turbine,GEN3
Air Products Port Arthur,5,78.2,,Natural Gas,Gas Turbine,GEN4
Alamo 6,1,105.0,,Solar,Photovoltaic,OCIA6
"Alexis Solar, LLC",1,10.0,,Solar,Photovoltaic,12001
Ameresco Dallas LLC,3,1.4,,Renewable,Internal Combustion,ENG1
Ameresco Dallas LLC,3,1.4,,Renewable,Internal Combustion,ENG2
Ameresco Dallas LLC,3,1.4,,Renewable,Internal Combustion,ENG3
Arlington Outlet Hydroelectric Generator,1,1.3,,Water,Hydroelectric Turbine,HY1
Ascend Performance Materials Texas Inc.,4,6.0,,Natural Gas,Steam Turbine,GEN1
Ascend Performance Materials Texas Inc.,4,46.1,,Natural Gas,Steam Turbine,GEN4
Austin Gas Recovery,4,1.6,,Renewable,Internal Combustion,GEN1
Austin Gas Recovery,4,1.6,,Renewable,Internal Combustion,GEN2
Austin Gas Recovery,4,1.6,,Renewable,Internal Combustion,GEN3
Azure Sky Solar,2,77.0,,Other,Energy Storage,ASKYB
Bakke,15,0.6,,Oil,Internal Combustion,BAK1
Bakke,15,0.6,,Oil,Internal Combustion,BAK10
Bakke,15,0.6,,Oil,Internal Combustion,BAK11
Bakke,15,0.6,,Oil,Internal Combustion,BAK12
Bakke,15,0.6,,Oil,Internal Combustion,BAK13
Bakke,15,0.6,,Oil,Internal Combustion,BAK14
Bakke,15,0.6,,Oil,Internal Combustion,BAK15
Bakke,15,0.6,,Oil,Internal Combustion,BAK2
Bakke,15,0.6,,Oil,Internal Combustion,BAK3
Bakke,15,0.6,,Oil,Internal Combustion,BAK4
Bakke,15,0.6,,Oil,Internal Combustion,BAK5
Bakke,15,0.6,,Oil,Internal Combustion,BAK6
Bakke,15,0.6,,Oil,Internal Combustion,BAK7
Bakke,15,0.6,,Oil,Internal Combustion,BAK8
Bakke,15,0.6,,Oil,Internal Combustion,BAK9
Bandera Electric Coop PV,1,1.5,,Solar,Photovoltaic,PV1
Bearkat,2,196.7,,Wind,Wind Turbine,BRKAT
Blue Cloud Wind Energy LLC,1,148.4,,Wind,Wind Turbine,WT1
"Blue Summit II Wind, LLC",1,99.4,,Wind,Wind Turbine,BSII
"Blue Summit Storage, LLC",1,30.0,,Other,Energy Storage,WBSS
Blue Wing Solar Energy Generation,1,13.9,,Solar,Photovoltaic,1
Bluebell Solar,1,30.0,,Solar,Photovoltaic,UNIT1
Bluebell Solar II,1,115.0,,Solar,Photovoltaic,BBS2
Bosque County Peaking,5,154.0,,Natural Gas,Combined Cycle,GT-1
Bosque County Peaking,5,154.0,,Natural Gas,Combined Cycle,GT-2
Bosque County Peaking,5,154.0,,Natural Gas,Combined Cycle,GT-3
Bosque County Peaking,5,95.0,,Natural Gas,Combined Cycle,ST-4
Bovine,1,10.0,,Solar,Photovoltaic,GEN1
Braes Bayou Plant,8,60.5,,Natural Gas,Gas Turbine,CTG-6
Braes Bayou Plant,8,60.5,,Natural Gas,Gas Turbine,CTG-7
Braes Bayou Plant,8,60.5,,Natural Gas,Gas Turbine,CTG-8
Brazoria County Solar Project (Danciger),1,200.0,,Solar,Photovoltaic,BRZ01
Brazoria West,1,200.0,,Solar,Photovoltaic,GEN1
Bridgeport Gas Processing Plant,17,0.8,,Natural Gas,Internal Combustion,14
Bridgeport Gas Processing Plant,17,0.8,,Natural Gas,Internal Combustion,15
Bridgeport Gas Processing Plant,17,0.8,,Natural Gas,Internal Combustion,16
Bridgeport Gas Processing Plant,17,0.8,,Natural Gas,Internal Combustion,17
Bridgeport Gas Processing Plant,17,0.8,,Natural Gas,Internal Combustion,2723
Bridgeport Gas Processing Plant,17,0.8,,Natural Gas,Internal Combustion,654
Bridgeport Gas Processing Plant,17,0.8,,Natural Gas,Internal Combustion,655
Bridgeport Gas Processing Plant,17,0.8,,Natural Gas,Internal Combustion,656
Bridgeport Gas Processing Plant,17,0.8,,Natural Gas,Internal Combustion,657
Bridgeport Gas Processing Plant,17,0.8,,Natural Gas,Internal Combustion,658
Bridgeport Gas Processing Plant,17,0.8,,Natural Gas,Internal Combustion,666
Bridgeport Gas Processing Plant,17,0.8,,Natural Gas,Internal Combustion,667
Bridgeport Gas Processing Plant,17,0.8,,Natural Gas,Internal Combustion,671
Bronson,1,10.0,,Solar,Photovoltaic,GEN1
CPS 1 Community Solar,1,1.0,,Solar,Photovoltaic,CPS1
"Canadian Breaks, LLC",1,210.1,,Wind,Wind Turbine,CBRKS
Canyon,2,3.0,,Water,Hydroelectric Turbine,1
Canyon,2,3.0,,Water,Hydroelectric Turbine,2
Cascade Solar (TX),1,10.0,,Solar,Photovoltaic,GEN1
CatanSolar,1,10.0,,Solar,Photovoltaic,CS
Caterina,1,9.9,,Other,Energy Storage,CATER
Central Utility Plant - Texas A&M,4,34.1,,Natural Gas,Combined Cycle,GTG01
Central Utility Plant - Texas A&M,4,11.0,,Natural Gas,Combined Cycle,STG02
Channel Energy Center LLC,4,208.8,,Natural Gas,Combined Cycle,CTG3
Chisum,1,10.0,,Solar,Photovoltaic,GEN1
Citrus City,15,0.6,,Oil,Internal Combustion,CC1
Citrus City,15,0.6,,Oil,Internal Combustion,CC10
Citrus City,15,0.6,,Oil,Internal Combustion,CC11
Citrus City,15,0.6,,Oil,Internal Combustion,CC12
Citrus City,15,0.6,,Oil,Internal Combustion,CC13
Citrus City,15,0.6,,Oil,Internal Combustion,CC14
Citrus City,15,0.6,,Oil,Internal Combustion,CC15
Citrus City,15,0.6,,Oil,Internal Combustion,CC2
Citrus City,15,0.6,,Oil,Internal Combustion,CC3
Citrus City,15,0.6,,Oil,Internal Combustion,CC4
Citrus City,15,0.6,,Oil,Internal Combustion,CC5
Citrus City,15,0.6,,Oil,Internal Combustion,CC6
Citrus City,15,0.6,,Oil,Internal Combustion,CC7
Citrus City,15,0.6,,Oil,Internal Combustion,CC8
Citrus City,15,0.6,,Oil,Internal Combustion,CC9
Clara,15,0.6,,Oil,Internal Combustion,CLA1
Clara,15,0.6,,Oil,Internal Combustion,CLA10
Clara,15,0.6,,Oil,Internal Combustion,CLA11
Clara,15,0.6,,Oil,Internal Combustion,CLA12
Clara,15,0.6,,Oil,Internal Combustion,CLA13
Clara,15,0.6,,Oil,Internal Combustion,CLA14
Clara,15,0.6,,Oil,Internal Combustion,CLA15
Clara,15,0.6,,Oil,Internal Combustion,CLA2
Clara,15,0.6,,Oil,Internal Combustion,CLA3
Clara,15,0.6,,Oil,Internal Combustion,CLA4
Clara,15,0.6,,Oil,Internal Combustion,CLA5
Clara,15,0.6,,Oil,Internal Combustion,CLA6
Clara,15,0.6,,Oil,Internal Combustion,CLA7
Clara,15,0.6,,Oil,Internal Combustion,CLA8
Clara,15,0.6,,Oil,Internal Combustion,CLA9
Clines Corners Wind Farm LLC,1,325.0,,Wind,Wind Turbine,1
CoServ Community Solar Station,1,2.0,,Solar,Photovoltaic,CSS1
"Colbeck's Corner, LLC",1,200.0,,Wind,Wind Turbine,GVII
Corazon Energy LLC,1,200.0,,Solar,Photovoltaic,KOV4A
Corpus Refinery,2,47.0,,Natural Gas,Gas Turbine,FR6
Covel Gardens Gas Recovery,6,1.6,,Renewable,Internal Combustion,1
Covel Gardens Gas Recovery,6,1.6,,Renewable,Internal Combustion,2
Covel Gardens Gas Recovery,6,1.6,,Renewable,Internal Combustion,3
Covel Gardens Gas Recovery,6,1.6,,Renewable,Internal Combustion,4
Covel Gardens Gas Recovery,6,1.6,,Renewable,Internal Combustion,5
Covel Gardens Gas Recovery,6,1.6,,Renewable,Internal Combustion,6
Cutten,15,0.6,,Oil,Internal Combustion,CUT1
Cutten,15,0.6,,Oil,Internal Combustion,CUT10
Cutten,15,0.6,,Oil,Internal Combustion,CUT11
Cutten,15,0.6,,Oil,Internal Combustion,CUT12
Cutten,15,0.6,,Oil,Internal Combustion,CUT13
Cutten,15,0.6,,Oil,Internal Combustion,CUT14
Cutten,15,0.6,,Oil,Internal Combustion,CUT15
Cutten,15,0.6,,Oil,Internal Combustion,CUT2
Cutten,15,0.6,,Oil,Internal Combustion,CUT3
Cutten,15,0.6,,Oil,Internal Combustion,CUT4
Cutten,15,0.6,,Oil,Internal Combustion,CUT5
Cutten,15,0.6,,Oil,Internal Combustion,CUT6
Cutten,15,0.6,,Oil,Internal Combustion,CUT7
Cutten,15,0.6,,Oil,Internal Combustion,CUT8
Cutten,15,0.6,,Oil,Internal Combustion,CUT9
DFW Gas Recovery,6,3.0,,Renewable,Gas Turbine,GEN1
DFW Gas Recovery,6,3.0,,Renewable,Gas Turbine,GEN2
DFW Gas Recovery,6,1.6,,Renewable,Internal Combustion,GEN3
DFW Gas Recovery,6,1.6,,Renewable,Internal Combustion,GEN4
DFW Gas Recovery,6,1.6,,Renewable,Internal Combustion,GEN5
DFW Gas Recovery,6,1.6,,Renewable,Internal Combustion,GEN6
Denton Energy Center,12,18.8,,Natural Gas,Internal Combustion,DEC1
Denton Energy Center,12,18.8,,Natural Gas,Internal Combustion,DEC10
Denton Energy Center,12,18.8,,Natural Gas,Internal Combustion,DEC11
Denton Energy Center,12,18.8,,Natural Gas,Internal Combustion,DEC12
Denton Energy Center,12,18.8,,Natural Gas,Internal Combustion,DEC2
Denton Energy Center,12,18.8,,Natural Gas,Internal Combustion,DEC3
Denton Energy Center,12,18.8,,Natural Gas,Internal Combustion,DEC4
Denton Energy Center,12,18.8,,Natural Gas,Internal Combustion,DEC5
Denton Energy Center,12,18.8,,Natural Gas,Internal Combustion,DEC6
Denton Energy Center,12,18.8,,Natural Gas,Internal Combustion,DEC7
Denton Energy Center,12,18.8,,Natural Gas,Internal Combustion,DEC8
Denton Energy Center,12,18.8,,Natural Gas,Internal Combustion,DEC9
Duran Mesa LLC,1,105.0,,Wind,Wind Turbine,1
E-Volve Energy Holdings LLC,1,1.6,,Solar,Photovoltaic,SEALY
E. Porte Ct.,15,0.6,,Oil,Internal Combustion,EPC1
E. Porte Ct.,15,0.6,,Oil,Internal Combustion,EPC10
E. Porte Ct.,15,0.6,,Oil,Internal Combustion,EPC11
E. Porte Ct.,15,0.6,,Oil,Internal Combustion,EPC12
E. Porte Ct.,15,0.6,,Oil,Internal Combustion,EPC13
E. Porte Ct.,15,0.6,,Oil,Internal Combustion,EPC14
E. Porte Ct.,15,0.6,,Oil,Internal Combustion,EPC15
E. Porte Ct.,15,0.6,,Oil,Internal Combustion,EPC2
E. Porte Ct.,15,0.6,,Oil,Internal Combustion,EPC3
E. Porte Ct.,15,0.6,,Oil,Internal Combustion,EPC4
E. Porte Ct.,15,0.6,,Oil,Internal Combustion,EPC5
E. Porte Ct.,15,0.6,,Oil,Internal Combustion,EPC6
E. Porte Ct.,15,0.6,,Oil,Internal Combustion,EPC7
E. Porte Ct.,15,0.6,,Oil,Internal Combustion,EPC8
E. Porte Ct.,15,0.6,,Oil,Internal Combustion,EPC9
EG178 Facility,3,60.5,,Natural Gas,Combined Cycle,CT02
EG178 Facility,3,60.5,,Natural Gas,Combined Cycle,CTG1
EG178 Facility,3,32.9,,Natural Gas,Combined Cycle,STG
ETT Presidio NaS Battery,1,4.0,,Other,Energy Storage,BOB
Eagle Pass,3,3.2,,Water,Hydroelectric Turbine,1
Eagle Pass,3,3.2,,Water,Hydroelectric Turbine,2
Eagle Pass,3,3.2,,Water,Hydroelectric Turbine,3
Eddy II,1,10.0,,Solar,Photovoltaic,GEN1
"El Algodon Alto Wind Farm, LLC",1,200.2,,Wind,Wind Turbine,EEA
Elk Station,3,199.8,,Natural Gas,Gas Turbine,ELK3
Elm Branch Solar 1,1,134.7,,Solar,Photovoltaic,TXEB1
Enterprise Products Operating,8,3.4,,Natural Gas,Gas Turbine,GEN3
Enterprise Products Operating,8,3.4,,Natural Gas,Gas Turbine,GEN4
Enterprise Products Operating,8,3.4,,Natural Gas,Gas Turbine,GEN5
Enterprise Products Operating,8,3.5,,Natural Gas,Gas Turbine,GEN6
Enterprise Products Operating,8,3.5,,Natural Gas,Gas Turbine,GEN7
Enterprise Products Operating,8,3.5,,Natural Gas,Gas Turbine,GEN8
ExxonMobil Baytown Refinery,11,7.5,,Natural Gas,Steam Turbine,ST34
FELPS 1 - Calaveras,1,1.0,,Solar,Photovoltaic,FLPS1
FELPS 2 - Calaveras,1,1.0,,Solar,Photovoltaic,FLPS2
FELPS 3 - Floresville South,1,1.0,,Solar,Photovoltaic,FLPS3
FELPS 4 - Floresville South,1,1.0,,Solar,Photovoltaic,FLPS4
FELPS 5- Floresville South,1,1.0,,Solar,Photovoltaic,FLPS5
FELPS 6- Floresville West,1,1.0,,Solar,Photovoltaic,FLPS6
FELPS 7- Floresville West,1,1.0,,Solar,Photovoltaic,FLPS7
Farmers Branch Renewable Energy Facility,2,1.6,,Renewable,Internal Combustion,GEN1
Farmers Branch Renewable Energy Facility,2,1.6,,Renewable,Internal Combustion,GEN2
Flower Valley I,1,9.9,,Other,Energy Storage,FLRV1
Fort Bliss (DEA EPIC),1,2.0,,Solar,Photovoltaic,DEPIC
Frankel,15,0.6,,Oil,Internal Combustion,FRA1
Frankel,15,0.6,,Oil,Internal Combustion,FRA10
Frankel,15,0.6,,Oil,Internal Combustion,FRA11
Frankel,15,0.6,,Oil,Internal Combustion,FRA12
Frankel,15,0.6,,Oil,Internal Combustion,FRA13
Frankel,15,0.6,,Oil,Internal Combustion,FRA14
Frankel,15,0.6,,Oil,Internal Combustion,FRA15
Frankel,15,0.6,,Oil,Internal Combustion,FRA2
Frankel,15,0.6,,Oil,Internal Combustion,FRA3
Frankel,15,0.6,,Oil,Internal Combustion,FRA4
Frankel,15,0.6,,Oil,Internal Combustion,FRA5
Frankel,15,0.6,,Oil,Internal Combustion,FRA6
Frankel,15,0.6,,Oil,Internal Combustion,FRA7
Frankel,15,0.6,,Oil,Internal Combustion,FRA8
Frankel,15,0.6,,Oil,Internal Combustion,FRA9
Freeport LP Pretreatment Facility,1,87.0,,Natural Gas,Gas Turbine,65GTG
G.S.E. One LLC,1,83.0,,Solar,Photovoltaic,1
GCWA,12,0.6,,Oil,Internal Combustion,IPS1
GCWA,12,0.6,,Oil,Internal Combustion,IPS2
GCWA,12,0.6,,Oil,Internal Combustion,IPS3
GCWA,12,0.6,,Oil,Internal Combustion,IPS4
GCWA,12,0.6,,Oil,Internal Combustion,IPS5
GCWA,12,0.6,,Oil,Internal Combustion,IPS6
GCWA,12,0.6,,Oil,Internal Combustion,IPS7
GCWA,12,0.6,,Oil,Internal Combustion,IPS8
GCWA,12,0.6,,Oil,Internal Combustion,MUN1
GCWA,12,0.6,,Oil,Internal Combustion,MUN2
GCWA,12,0.6,,Oil,Internal Combustion,MUN3
GCWA,12,0.6,,Oil,Internal Combustion,MUN4
Goldsmith,15,0.6,,Oil,Internal Combustion,GS1
Goldsmith,15,0.6,,Oil,Internal Combustion,GS10
Goldsmith,15,0.6,,Oil,Internal Combustion,GS11
Goldsmith,15,0.6,,Oil,Internal Combustion,GS12
Goldsmith,15,0.6,,Oil,Internal Combustion,GS13
Goldsmith,15,0.6,,Oil,Internal Combustion,GS14
Goldsmith,15,0.6,,Oil,Internal Combustion,GS15
Goldsmith,15,0.6,,Oil,Internal Combustion,GS2
Goldsmith,15,0.6,,Oil,Internal Combustion,GS3
Goldsmith,15,0.6,,Oil,Internal Combustion,GS4
Goldsmith,15,0.6,,Oil,Internal Combustion,GS5
Goldsmith,15,0.6,,Oil,Internal Combustion,GS6
Goldsmith,15,0.6,,Oil,Internal Combustion,GS7
Goldsmith,15,0.6,,Oil,Internal Combustion,GS8
Goldsmith,15,0.6,,Oil,Internal Combustion,GS9
Gopher Creek Wind Farm,1,158.0,,Wind,Wind Turbine,GCWF
Griffin Solar,1,5.0,,Solar,Photovoltaic,1080
H 4,1,2.4,,Water,Hydroelectric Turbine,1
HEB00020,3,0.4,,Natural Gas,Internal Combustion,H0201
HEB00020,3,0.4,,Natural Gas,Internal Combustion,H0202
HEB00020,3,0.4,,Natural Gas,Internal Combustion,H0203
HEB00028,3,0.4,,Natural Gas,Internal Combustion,H0281
HEB00028,3,0.4,,Natural Gas,Internal Combustion,H0282
HEB00028,3,0.4,,Natural Gas,Internal Combustion,H0283
HEB00038,3,0.4,,Natural Gas,Internal Combustion,H0381
HEB00038,3,0.4,,Natural Gas,Internal Combustion,H0382
HEB00038,3,0.4,,Natural Gas,Internal Combustion,H0383
HEB00054,3,0.4,,Natural Gas,Internal Combustion,H0541
HEB00054,3,0.4,,Natural Gas,Internal Combustion,H0542
HEB00054,3,0.4,,Natural Gas,Internal Combustion,H0543
HEB00057,3,0.4,,Natural Gas,Internal Combustion,H0571
HEB00057,3,0.4,,Natural Gas,Internal Combustion,H0572
HEB00057,3,0.4,,Natural Gas,Internal Combustion,H0573
HEB00070,3,0.4,,Natural Gas,Internal Combustion,H0701
HEB00070,3,0.4,,Natural Gas,Internal Combustion,H0702
HEB00070,3,0.4,,Natural Gas,Internal Combustion,H0703
HEB00099,3,0.4,,Natural Gas,Internal Combustion,H0991
HEB00099,3,0.4,,Natural Gas,Internal Combustion,H0992
HEB00099,3,0.4,,Natural Gas,Internal Combustion,H0993
HEB00109,3,0.4,,Natural Gas,Internal Combustion,H1091
HEB00109,3,0.4,,Natural Gas,Internal Combustion,H1092
HEB00109,3,0.4,,Natural Gas,Internal Combustion,H1093
HEB00110,3,0.4,,Natural Gas,Internal Combustion,H1101
HEB00110,3,0.4,,Natural Gas,Internal Combustion,H1102
HEB00110,3,0.4,,Natural Gas,Internal Combustion,H1103
HEB00182,3,0.4,,Natural Gas,Internal Combustion,H1821
HEB00182,3,0.4,,Natural Gas,Internal Combustion,H1822
HEB00182,3,0.4,,Natural Gas,Internal Combustion,H1823
HEB00292,3,0.4,,Natural Gas,Internal Combustion,H2921
HEB00292,3,0.4,,Natural Gas,Internal Combustion,H2922
HEB00292,3,0.4,,Natural Gas,Internal Combustion,H2923
Hal C Weaver Power Plant,10,34.4,,Natural Gas,Combined Cycle,GEN10
Hal C Weaver Power Plant,10,48.5,,Natural Gas,Combined Cycle,GEN8
Hal C Weaver Power Plant,10,27.2,,Natural Gas,Combined Cycle,GEN9
Heart of Texas Wind Project,1,180.0,,Wind,Wind Turbine,HTX
Heights,1,9.9,,Other,Energy Storage,H8S
Helena Wind,1,250.0,,Wind,Wind Turbine,HEL
Highway 56 Solar,1,5.3,,Solar,Photovoltaic,GEN1
Hoef's Road Storage,1,2.0,,Other,Energy Storage,HOEFS
Houston Plant,2,6.0,,Natural Gas,Steam Turbine,GEN1
Houston Plant,2,1.5,,Natural Gas,Steam Turbine,GEN2
Hubbard Wind,1,300.0,,Wind,Wind Turbine,HW001
IKEA Grand Prairie Rooftop PV System,1,1.2,,Solar,Photovoltaic,PV1
IKEA Live Oak Rooftop PV System,1,1.7,,Solar,Photovoltaic,570
IKEA Round Rock 027,1,1.4,,Solar,Photovoltaic,PV
Inadale Wind Farm LLC Hybrid,2,9.9,,Other,Energy Storage,INABT
Ivory Solar (AKA Lamesa II),1,50.0,,Solar,Photovoltaic,IVORY
Jameson Gas Processing Plant,5,0.4,,Natural Gas,Internal Combustion,620
Jameson Gas Processing Plant,5,0.4,,Natural Gas,Internal Combustion,621
Jameson Gas Processing Plant,5,0.5,,Natural Gas,Internal Combustion,622
Jameson Gas Processing Plant,5,0.5,,Natural Gas,Internal Combustion,GN410
Kingsberry Energy Storage System,1,1.5,,Other,Energy Storage,KBESS
Lampwick,1,7.5,,Solar,Photovoltaic,GEN1
Leon Solar,1,10.0,,Solar,Photovoltaic,GEN1
Lewisville,1,2.8,,Water,Hydroelectric Turbine,1
Lockett Windfarm,1,183.8,,Wind,Wind Turbine,LOC
Lonestar,1,9.9,,Other,Energy Storage,LNSTR
"Longbow Solar, LLC",1,78.1,,Solar,Photovoltaic,LBSOL
Mark One Power Station,3,60.5,,Natural Gas,Gas Turbine,CTG-1
Mark One Power Station,3,60.5,,Natural Gas,Gas Turbine,CTG-2
Mark One Power Station,3,60.5,,Natural Gas,Gas Turbine,CTG-3
Marlin Solar,1,5.3,,Solar,Photovoltaic,GEN1
Mars Solar,1,10.0,,Solar,Photovoltaic,20
Maryneal Windpower,1,182.4,,Wind,Wind Turbine,MNW
Mckeever,15,0.6,,Oil,Internal Combustion,MK1
Mckeever,15,0.6,,Oil,Internal Combustion,MK10
Mckeever,15,0.6,,Oil,Internal Combustion,MK11
Mckeever,15,0.6,,Oil,Internal Combustion,MK12
Mckeever,15,0.6,,Oil,Internal Combustion,MK13
Mckeever,15,0.6,,Oil,Internal Combustion,MK14
Mckeever,15,0.6,,Oil,Internal Combustion,MK15
Mckeever,15,0.6,,Oil,Internal Combustion,MK2
Mckeever,15,0.6,,Oil,Internal Combustion,MK3
Mckeever,15,0.6,,Oil,Internal Combustion,MK4
Mckeever,15,0.6,,Oil,Internal Combustion,MK5
Mckeever,15,0.6,,Oil,Internal Combustion,MK6
Mckeever,15,0.6,,Oil,Internal Combustion,MK7
Mckeever,15,0.6,,Oil,Internal Combustion,MK8
Mckeever,15,0.6,,Oil,Internal Combustion,MK9
Mesquite Creek LFGTE Project,2,1.6,,Renewable,Internal Combustion,GEN1
Mesquite Creek LFGTE Project,2,1.6,,Renewable,Internal Combustion,GEN2
Mesquite Star,1,418.9,,Wind,Wind Turbine,MESQ
Mont Belvieu Cogeneration Unit,1,15.0,,Natural Gas,Gas Turbine,GT01
Montana Power Station,4,131.8,,Natural Gas,Gas Turbine,GT-1
Montana Power Station,4,131.8,,Natural Gas,Gas Turbine,GT-2
Montana Power Station,4,131.8,,Natural Gas,Gas Turbine,GT-3
Montana Power Station,4,131.8,,Natural Gas,Gas Turbine,GT-4
N. Mary Francis,15,0.6,,Oil,Internal Combustion,NMF1
N. Mary Francis,15,0.6,,Oil,Internal Combustion,NMF10
N. Mary Francis,15,0.6,,Oil,Internal Combustion,NMF11
N. Mary Francis,15,0.6,,Oil,Internal Combustion,NMF12
N. Mary Francis,15,0.6,,Oil,Internal Combustion,NMF13
N. Mary Francis,15,0.6,,Oil,Internal Combustion,NMF14
N. Mary Francis,15,0.6,,Oil,Internal Combustion,NMF15
N. Mary Francis,15,0.6,,Oil,Internal Combustion,NMF2
N. Mary Francis,15,0.6,,Oil,Internal Combustion,NMF3
N. Mary Francis,15,0.6,,Oil,Internal Combustion,NMF4
N. Mary Francis,15,0.6,,Oil,Internal Combustion,NMF5
N. Mary Francis,15,0.6,,Oil,Internal Combustion,NMF6
N. Mary Francis,15,0.6,,Oil,Internal Combustion,NMF7
N. Mary Francis,15,0.6,,Oil,Internal Combustion,NMF8
N. Mary Francis,15,0.6,,Oil,Internal Combustion,NMF9
NASA Johnson Space Center CHP,2,5.6,,Natural Gas,Gas Turbine,CTG-1
NASA Johnson Space Center CHP,2,5.6,,Natural Gas,Gas Turbine,CTG-2
Nebula Solar,1,135.0,,Solar,Photovoltaic,NEB1
Nelson Gardens Landfill Gas to Energy,4,1.1,,Renewable,Internal Combustion,UNIT1
Nelson Gardens Landfill Gas to Energy,4,1.1,,Renewable,Internal Combustion,UNIT2
Nelson Gardens Landfill Gas to Energy,4,1.1,,Renewable,Internal Combustion,UNIT3
Nelson Gardens Landfill Gas to Energy,4,1.1,,Renewable,Internal Combustion,UNIT4
Niagara Bottling - Seguin,1,4.9,,Solar,Photovoltaic,NIAGS
Noble Solar,2,275.0,,Solar,Photovoltaic,NBSLR
Noble Solar,2,125.0,,Other,Energy Storage,NBSTG
Nolte,2,1.2,,Water,Hydroelectric Turbine,1
Nolte,2,1.2,,Water,Hydroelectric Turbine,2
North Gainesville Solar,1,5.2,,Solar,Photovoltaic,GEN1
"OCI Alamo 2, LLC",1,4.4,,Solar,Photovoltaic,1
OCI Alamo 3 LLC,1,5.5,,Solar,Photovoltaic,OCIA3
Old Settler Wind,1,151.2,,Wind,Wind Turbine,OSWF
Oxy Renewable Energy - Goldsmith,1,16.8,,Solar,Photovoltaic,SOLAR
Pearl Solar,1,50.0,,Solar,Photovoltaic,PEARL
Phantom Solar,1,15.4,,Solar,Photovoltaic,GEN1
Power Island,3,41.0,,Natural Gas,Gas Turbine,GEN1
Power Island,3,50.0,,Natural Gas,Gas Turbine,GEN2
Power Island,3,50.0,,Natural Gas,Gas Turbine,GEN3
PowerFin Kingsbery,1,2.6,,Solar,Photovoltaic,PFPKB
Priddy Wind Project,1,302.4,,Wind,Wind Turbine,WTG1
Pyron Wind Farm LLC Hybrid,2,9.9,,Other,Energy Storage,PYRBT
RE Maplewood,5,28.0,,Solar,Photovoltaic,PV2
Rentech Nitrogen Pasadena Cogeneration,1,15.4,,Natural Gas,Steam Turbine,MG202
Ridge Rd,15,0.6,,Oil,Internal Combustion,RR1
Ridge Rd,15,0.6,,Oil,Internal Combustion,RR10
Ridge Rd,15,0.6,,Oil,Internal Combustion,RR11
Ridge Rd,15,0.6,,Oil,Internal Combustion,RR12
Ridge Rd,15,0.6,,Oil,Internal Combustion,RR13
Ridge Rd,15,0.6,,Oil,Internal Combustion,RR14
Ridge Rd,15,0.6,,Oil,Internal Combustion,RR15
Ridge Rd,15,0.6,,Oil,Internal Combustion,RR2
Ridge Rd,15,0.6,,Oil,Internal Combustion,RR3
Ridge Rd,15,0.6,,Oil,Internal Combustion,RR4
Ridge Rd,15,0.6,,Oil,Internal Combustion,RR5
Ridge Rd,15,0.6,,Oil,Internal Combustion,RR6
Ridge Rd,15,0.6,,Oil,Internal Combustion,RR7
Ridge Rd,15,0.6,,Oil,Internal Combustion,RR8
