UNIT NAME,UNIT CODE,SETTLEMENT POINT NAME,FUEL,ZONE,YEAR,CAPACITY
LORAINE WINDPARK I,LONEWOLF_G1,LONEWOLF_ALL,WIND-O,WEST,2010,48
LORAINE WINDPARK II,LONEWOLF_G2,LONEWOLF_ALL,WIND-O,WEST,2010,51
LORAINE WINDPARK III,LONEWOLF_G3,LONEWOLF_ALL,WIND-O,WEST,2011,25.5
LORAINE WINDPARK IV,LONEWOLF_G4,LONEWOLF_ALL,WIND-O,WEST,2011,24
LOS VIENTOS III WIND,LV3_UNIT_1,LV3_UNIT1,WIND-O,SOUTH,2015,200
LOS VIENTOS IV WIND,LV4_UNIT_1,LV4_UNIT_1,WIND-O,SOUTH,2016,200
LOS VIENTOS V WIND,LV5_UNIT_1,LV5_UNIT1,WIND-O,SOUTH,2016,110
MESQUITE CREEK WIND 1,MESQCRK_WND1,MESQCRK_ALL,WIND-O,WEST,2015,105.6
MESQUITE CREEK WIND 2,MESQCRK_WND2,MESQCRK_ALL,WIND-O,WEST,2015,105.6
NIELS BOHR WIND A (BEARKAT WIND A),NBOHR_UNIT1,NBOHR_RN,WIND-O,WEST,2018,196.6
NOTREES WIND 1,NWF_NWF1,NWF_NWF1,WIND-O,WEST,2009,92.6
NOTREES WIND 2,NWF_NWF2,NWF_NWF1,WIND-O,WEST,2009,60
OCOTILLO WIND,OWF_OWF,OWF_OWF,WIND-O,WEST,2008,58.8
PANTHER CREEK WIND 1,PC_NORTH_PANTHER1,PC_NORTH_1,WIND-O,WEST,2008,142.5
PANTHER CREEK WIND 2,PC_SOUTH_PANTHER2,PC_SOUTH_ALL,WIND-O,WEST,2019,115.5
PANTHER CREEK WIND 3,PC_SOUTH_PANTHER3,PC_SOUTH_ALL,WIND-O,WEST,2009,199.5
PECOS WIND 1 (WOODWARD),WOODWRD1_WOODWRD1,WOODWRD1_RN,WIND-O,WEST,2001,91.7
PECOS WIND 2 (WOODWARD),WOODWRD2_WOODWRD2,WOODWRD2_RN,WIND-O,WEST,2001,86
PYRON WIND 1,PYR_PYRON1,PYR_PYRON1,WIND-O,WEST,2008,121.5
PYRON WIND 2,PYR_PYRON2,PYR_PYRON1,WIND-O,WEST,2008,127.5
RANCHERO WIND,RANCHERO_UNIT1,RANCHERO_ALL,WIND-O,WEST,2020,150
RANCHERO WIND,RANCHERO_UNIT2,RANCHERO_ALL,WIND-O,WEST,2020,150
RATTLESNAKE I WIND ENERGY CENTER G1,RSNAKE_G1,RSK_RN,WIND-O,WEST,2015,104.3
RATTLESNAKE I WIND ENERGY CENTER G2,RSNAKE_G2,RSK_RN,WIND-O,WEST,2015,103
RED CANYON WIND,RDCANYON_RDCNY1,RDCAN_RDCNY1,WIND-O,WEST,2006,89.6
ROCK SPRINGS VAL VERDE WIND (FERMI) 1,FERMI_WIND1,FERMI_ALL,WIND-O,WEST,2017,121.9
ROCK SPRINGS VAL VERDE WIND (FERMI) 2,FERMI_WIND2,FERMI_ALL,WIND-O,WEST,2017,27.4
ROSCOE WIND,TKWSW1_ROSCOE,TKWSW_ROSCOE,WIND-O,WEST,2008,114
ROSCOE WIND 2A,TKWSW1_ROSCOE2A,TKWSW_ROSCOE,WIND-O,WEST,2008,95
RTS WIND,RTS_U1,RN_RTS1,WIND-O,SOUTH,2018,160
RTS 2 WIND (HEART OF TEXAS WIND) U1,RTS2_U1,RN_RTS1,WIND-O,SOUTH,2021,89.9
RTS 2 WIND (HEART OF TEXAS WIND) U2,RTS2_U2,RN_RTS1,WIND-O,SOUTH,2021,89.9
SAND BLUFF WIND,MCDLD_SBW1,MCDLD_FCSBW1,WIND-O,WEST,2008,90
SENDERO WIND ENERGY,EXGNSND_WIND_1,EXGNSND_RN,WIND-O,SOUTH,2015,78
SEYMOUR HILLS WIND (S_HILLS WIND),S_HILLS_UNIT1,S_HILLS_RN,WIND-O,WEST,2019,30.2
SENATE WIND,SENATEWD_UNIT1,SENATEWD_1,WIND-O,NORTH,2012,150
SHANNON WIND,SHANNONW_UNIT_1,SHANNONW_RN,WIND-O,WEST,2015,204.1
SHERBINO 2 WIND,KEO_SHRBINO2,KEO_KEO_SM1,WIND-O,WEST,2011,132
SILVER STAR WIND,FLTCK_SSI,FLTCK_SSI,WIND-O,NORTH,2008,52.8
SOUTH TRENT WIND,STWF_T1,STWF_T1,WIND-O,WEST,2008,98.2
STANTON WIND ENERGY,SWEC_G1,SWEC_G1,WIND-O,WEST,2008,120
STEPHENS RANCH WIND 1,SRWE1_UNIT1,SRWE1_UNIT1,WIND-O,WEST,2014,211.2
STEPHENS RANCH WIND 2,SRWE1_SRWE2,SRWE1_UNIT1,WIND-O,WEST,2015,164.7
SWEETWATER WIND 1,SWEETWND_WND1,SWEETWND_1,WIND-O,WEST,2003,42.5
SWEETWATER WIND 2A,SWEETWN2_WND24,SWEETWN2_2_4,WIND-O,WEST,2006,16.8
SWEETWATER WIND 2B,SWEETWN2_WND2,SWEETWN2_2_4,WIND-O,WEST,2004,110.8
SWEETWATER WIND 3A,SWEETWN3_WND3A,SWEETWN3_3,WIND-O,WEST,2011,33.6
SWEETWATER WIND 3B,SWEETWN3_WND3B,SWEETWN3_3,WIND-O,WEST,2011,118.6
SWEETWATER WIND 4-5,SWEETWN5_WND5,SWTWN4_WND45,WIND-O,WEST,2007,85
SWEETWATER WIND 4-4B,SWEETWN4_WND4B,SWTWN4_WND45,WIND-O,WEST,2007,112
SWEETWATER WIND 4-4A,SWEETWN4_WND4A,SWTWN4_WND45,WIND-O,WEST,2007,125
TAHOKA WIND 1,TAHOKA_UNIT_1,TAHOKA_ALL,WIND-O,WEST,2019,150
TAHOKA WIND 2,TAHOKA_UNIT_2,TAHOKA_ALL,WIND-O,WEST,2019,150
TEXAS BIG SPRING WIND A,SGMTN_SIGNALMT,SGM_SIGNALMT,WIND-O,WEST,1999,27.7
TEXAS BIG SPRING WIND B,SGMTN_SIGNALM2,SGM_SIGNALMT,WIND-O,WEST,1999,6.6
TORRECILLAS WIND 1,TORR_UNIT1_25,TORR_ALL,WIND-O,SOUTH,2019,150
TORRECILLAS WIND 2,TORR_UNIT2_23,TORR_ALL,WIND-O,SOUTH,2019,23
TORRECILLAS WIND 3,TORR_UNIT2_25,TORR_ALL,WIND-O,SOUTH,2019,127.5
TRENT WIND,TRENT_TRENT,TRENT_TRENT,WIND-O,WEST,2001,156.5
TRINITY HILLS WIND 1,TRINITY_TH1_BUS1,TRINITY_ALL,WIND-O,WEST,2012,103.4
TRINITY HILLS WIND 2,TRINITY_TH1_BUS2,TRINITY_ALL,WIND-O,WEST,2012,94.6
TURKEY TRACK WIND,TTWEC_G1,TTWEC_G1,WIND-O,WEST,2008,169.5
TYLER BLUFF WIND,TYLRWIND_UNIT1,TYLRWIND_RN,WIND-O,NORTH,2017,125.6
VERA WIND 1,VERAWIND_UNIT1,VERAWIND_ALL,WIND-O,WEST,2021,12
VERA WIND 2,VERAWIND_UNIT2,VERAWIND_ALL,WIND-O,WEST,2021,7.2
VERA WIND 3,VERAWIND_UNIT3,VERAWIND_ALL,WIND-O,WEST,2021,100.8
VERA WIND 4,VERAWIND_UNIT4,VERAWIND_ALL,WIND-O,WEST,2021,22
VERA WIND 5,VERAWIND_UNIT5,VERAWIND_ALL,WIND-O,WEST,2021,100.8
WHITETAIL WIND,EXGNWTL_WIND_1,EXGNWTL_1,WIND-O,SOUTH,2012,92.3
WINDTHORST 2 WIND,WNDTHST2_UNIT1,WNDTS2_UNIT1,WIND-O,WEST,2014,67.6
WKN MOZART WIND,MOZART_WIND_1,MOZART_WIND1,WIND-O,WEST,2012,30
WILLOW SPRINGS WIND A,SALVTION_UNIT1,SALVTION_GEN,WIND-O,WEST,2017,125
WILLOW SPRINGS WIND B,SALVTION_UNIT2,SALVTION_GEN,WIND-O,WEST,2017,125
WILSON RANCH (INFINITY LIVE OAK WIND),WL_RANCH_UNIT1,WL_RANCH_RN,WIND-O,WEST,2020,199.5
WOLF RIDGE WIND,WHTTAIL_WR1,WHTTAIL_WR1,WIND-O,NORTH,2008,112.5
TSTC WEST TEXAS WIND,DG_ROSC2_1UNIT,#N/A,WIND-O,WEST,2008,2
ACACIA SOLAR,ACACIA_UNIT_1,#N/A,SOLAR,WEST,2012,10
BHE SOLAR PEARL PROJECT (SIRIUS 2),SIRIUS_UNIT2,SIRIUS_UNIT1,SOLAR,WEST,2017,49.1
BLUEBELL SOLAR (CAPRICORN RIDGE SOLAR),CAPRIDG4_BB_PV,CAPRIDG4_CR4,SOLAR,WEST,2019,30
BLUEBELL SOLAR II 1 (CAPRICORN RIDGE 4),CAPRIDG4_BB2_PV1,CAPRIDG4_CR4,SOLAR,WEST,2021,100
BLUEBELL SOLAR II 2 (CAPRICORN RIDGE 4),CAPRIDG4_BB2_PV2,CAPRIDG4_CR4,SOLAR,WEST,2021,15
BNB LAMESA SOLAR (PHASE I),LMESASLR_UNIT1,LAMESASLR_G,SOLAR,WEST,2018,101.6
BNB LAMESA SOLAR (PHASE II),LMESASLR_IVORY,LAMESASLR_G,SOLAR,WEST,2018,50
CASTLE GAP SOLAR,CASL_GAP_UNIT1,CASL_GAP_UN1,SOLAR,WEST,2018,180
CONIGLIO SOLAR,CONIGLIO_UNIT1,CONIGLIO_RN,SOLAR,NORTH,2021,125.7
EAST BLACKLAND SOLAR (PFLUGERVILLE SOLAR),E_BLACK_UNIT_1,E_BLACK_RN,SOLAR,SOUTH,2021,144
FOWLER RANCH,FWLR_SLR_UNIT1,FWLR_SLR_1,SOLAR,WEST,2020,150
FS BARILLA SOLAR-PECOS,HOVEY_UNIT1,HOVEY_GEN,SOLAR,WEST,2015,22
FS EAST PECOS SOLAR,BOOTLEG_UNIT1,BOOTLEG_UN1,SOLAR,WEST,2017,121.1
GREASEWOOD SOLAR 1,GREASWOD_UNIT1,GREASWOD_ALL,SOLAR,WEST,2021,124.6
GREASEWOOD SOLAR 2,GREASWOD_UNIT2,GREASWOD_ALL,SOLAR,WEST,2021,130.4
HOLSTEIN SOLAR 1,HOLSTEIN_SOLAR1,HOLSTEIN_ALL,SOLAR,WEST,2020,102.2
HOLSTEIN SOLAR 2,HOLSTEIN_SOLAR2,HOLSTEIN_ALL,SOLAR,WEST,2020,102.3
IMPACT SOLAR,IMPACT_UNIT1,IMP_RN1,SOLAR,NORTH,2021,198.5
JUNO SOLAR PHASE I,JUNO_UNIT1,JUNO_ALL,SOLAR,WEST,2021,162.1
JUNO SOLAR PHASE II,JUNO_UNIT2,JUNO_ALL,SOLAR,WEST,2021,143.5
KELLAM SOLAR,KELAM_SL_UNIT1,KELAMSL_U1,SOLAR,NORTH,2020,59.8
LAPETUS SOLAR,LAPETUS_UNIT_1,LAPETUS_U1,SOLAR,WEST,2020,100.7
OBERON SOLAR,OBERON_UNIT_1,OBERON_U1,SOLAR,WEST,2020,180
OCI ALAMO 1 SOLAR,OCI_ALM1_UNIT1,RN_OCI_ALAMO,SOLAR,SOUTH,2013,39.2
OCI ALAMO 4 SOLAR-BRACKETVILLE,ECLIPSE_UNIT1,ECLIPSE_UN1,SOLAR,SOUTH,2014,37.6
OCI ALAMO 5 (DOWNIE RANCH),HELIOS_UNIT1,HELIOS_RN,SOLAR,SOUTH,2015,100
OCI ALAMO 6 (SIRIUS/WEST TEXAS),SIRIUS_UNIT1,SIRIUS_UNIT1,SOLAR,WEST,2017,110.2
OCI ALAMO 7 (PAINT CREEK),SOLARA_UNIT1,SOLARA_UNIT1,SOLAR,WEST,2016,112
PHOEBE SOLAR 1,PHOEBE_UNIT1,PHOEBE_ALL,SOLAR,WEST,2019,125.1
PHOEBE SOLAR 2,PHOEBE_UNIT2,PHOEBE_ALL,SOLAR,WEST,2019,128.1
PROSPERO SOLAR 1,PROSPERO_UNIT1,PROSPERO_ALL,SOLAR,WEST,2020,153.6
PROSPERO SOLAR 2,PROSPERO_UNIT2,PROSPERO_ALL,SOLAR,WEST,2020,150
QUEEN SOLAR PHASE I,QUEEN_SL_SOLAR1,QUEEN_SL_RN,SOLAR,WEST,2020,102.5
QUEEN SOLAR PHASE I,QUEEN_SL_SOLAR2,QUEEN_SL_RN,SOLAR,WEST,2020,102.5
QUEEN SOLAR PHASE II,QUEEN_SL_SOLAR3,QUEEN_SL_RN,SOLAR,WEST,2020,97.5
QUEEN SOLAR PHASE II,QUEEN_SL_SOLAR4,QUEEN_SL_RN,SOLAR,WEST,2020,107.5
RAMBLER SOLAR,RAMBLER_UNIT1,RAMBLER_UNIT,SOLAR,WEST,2020,200
RE ROSEROCK SOLAR 1,REROCK_UNIT1,REROCK_ALL,SOLAR,WEST,2016,78.8
RE ROSEROCK SOLAR 2,REROCK_UNIT2,REROCK_ALL,SOLAR,WEST,2016,78.8
RIGGINS (SE BUCKTHORN WESTEX SOLAR),RIGGINS_UNIT1,RIGGIN_UNIT1,SOLAR,WEST,2018,150
RIPPEY SOLAR,RIPPEY_UNIT1,RIPPEY_ALL,SOLAR,NORTH,2020,59.8
SOLAIREHOLMAN 1,LASSO_UNIT1,LASSO_GEN,SOLAR,WEST,2018,50
SP-TX-12-PHASE B,SPTX12B_UNIT1,SPTX12B_RN,SOLAR,WEST,2017,157.5
TAYGETE SOLAR 1 U1,TAYGETE_UNIT1,TAYGETE_ALL,SOLAR,WEST,2021,125.9
TAYGETE SOLAR 1 U2,TAYGETE_UNIT2,TAYGETE_ALL,SOLAR,WEST,2021,128.9
WAYMARK SOLAR,WAYMARK_UNIT1,WAYMARK_RN,SOLAR,WEST,2018,182
WEBBERVILLE SOLAR,WEBBER_S_WSP1,WEBBER_WS_T1,SOLAR,SOUTH,2011,26.7
WEST OF PECOS SOLAR,W_PECOS_UNIT1,W_PECO_UNIT1,SOLAR,WEST,2019,100
ALEXIS SOLAR,DG_ALEXIS_ALEXIS,#N/A,SOLAR,SOUTH,2019,10
BECK 1,DG_CECSOLAR_DG_BECK1,#N/A,SOLAR,SOUTH,2016,1
BLUE WING 1 SOLAR,DG_BROOK_1UNIT,#N/A,SOLAR,SOUTH,2010,7.6
BLUE WING 2 SOLAR,DG_ELMEN_1UNIT,#N/A,SOLAR,SOUTH,2010,7.3
BOVINE SOLAR LLC,DG_BOVINE_BOVINE,#N/A,SOLAR,SOUTH,2018,5
BOVINE SOLAR LLC,DG_BOVINE2_BOVINE2,#N/A,SOLAR,SOUTH,2018,5
BRONSON SOLAR I,DG_BRNSN_BRNSN,#N/A,SOLAR,HOUSTON,2018,5
BRONSON SOLAR II,DG_BRNSN2_BRNSN2,#N/A,SOLAR,HOUSTON,2018,5
CASCADE SOLAR I,DG_CASCADE_CASCADE,#N/A,SOLAR,SOUTH,2018,5
CASCADE SOLAR II,DG_CASCADE2_CASCADE2,#N/A,SOLAR,SOUTH,2018,5
CATAN SOLAR,DG_CS10_CATAN,#N/A,SOLAR,SOUTH,2020,10
CHISUM SOLAR,DG_CHISUM_CHISUM,#N/A,SOLAR,NORTH,2018,10
COMMERCE_SOLAR,DG_ X443PV1_SWRI_PV1,#N/A,SOLAR,SOUTH,2019,5
EDDY SOLAR II,DG_EDDYII_EDDYII,#N/A,SOLAR,NORTH,2018,10
FIFTH GENERATION SOLAR 1,DG_FIFTHGS1_FGSOLAR1,#N/A,SOLAR,SOUTH,2016,1.6
GRIFFIN SOLAR,DG_GRIFFIN_GRIFFIN,#N/A,SOLAR,NORTH,2019,5
HIGHWAY 56,DG_HWY56_HWY56,#N/A,SOLAR,NORTH,2017,5.3
HM SEALY SOLAR 1,DG_SEALY_1UNIT,#N/A,SOLAR,SOUTH,2015,1.6
LAMPWICK SOLAR,DG_LAMPWICK_LAMPWICK,#N/A,SOLAR,WEST,2019,7.5
LEON,DG_LEON_LEON,#N/A,SOLAR,NORTH,2017,10
MARLIN,DG_MARLIN_MARLIN,#N/A,SOLAR,NORTH,2017,5.3
MARS SOLAR (DG),DG_MARS_MARS,#N/A,SOLAR,SOUTH,2019,10
NORTH GAINESVILLE,DG_NGNSVL_NGAINESV,#N/A,SOLAR,NORTH,2017,5.2
OCI ALAMO 2 SOLAR-ST. HEDWIG,DG_STHWG_UNIT1,#N/A,SOLAR,SOUTH,2014,4.4
OCI ALAMO 3-WALZEM SOLAR,DG_WALZM_UNIT1,#N/A,SOLAR,SOUTH,2014,5.5
POWERFIN KINGSBERY,DG_PFK_PFKPV,#N/A,SOLAR,SOUTH,2017,2.6
RENEWABLE ENERGY ALTERNATIVES-CCS1,DG_COSERVSS_CSS1,#N/A,SOLAR,NORTH,2015,2
STERLING,DG_STRLING_STRLING,#N/A,SOLAR,NORTH,2018,10
SUNEDISON RABEL ROAD SOLAR,DG_VALL1_1UNIT,#N/A,SOLAR,SOUTH,2012,9.9
SUNEDISON VALLEY ROAD SOLAR,DG_VALL2_1UNIT,#N/A,SOLAR,SOUTH,2012,9.9
SUNEDISON CPS3 SOMERSET 1 SOLAR,DG_SOME1_1UNIT,#N/A,SOLAR,SOUTH,2012,5.6
SUNEDISON SOMERSET 2 SOLAR,DG_SOME2_1UNIT,#N/A,SOLAR,SOUTH,2012,5
WALNUT SPRINGS,DG_WLNTSPRG_1UNIT,#N/A,SOLAR,NORTH,2016,10
WEST MOORE II,DG_WMOOREII_WMOOREII,#N/A,SOLAR,NORTH,2018,5
WHITESBORO,DG_WBORO_WHTSBORO,#N/A,SOLAR,NORTH,2017,5
WHITESBORO II,DG_WBOROII_WHBOROII,#N/A,SOLAR,NORTH,2017,5
WHITEWRIGHT,DG_WHTRT_WHTRGHT,#N/A,SOLAR,NORTH,2017,10
WHITNEY SOLAR,DG_WHITNEY_SOLAR1,#N/A,SOLAR,NORTH,2017,10
YELLOW JACKET SOLAR,DG_YLWJACKET_YLWJACKET,#N/A,SOLAR,NORTH,2018,5
BLUE SUMMIT BATTERY,BLSUMMIT_BATTERY,BLSMT1_5_A_6,STORAGE,WEST,2017,30
BRP ALVIN (DGR),BRPALVIN_UNIT1,ALVIN_RN,STORAGE,COASTAL,2020,10
BRP ANGELTON (DGR),BRPANGLE_UNIT1,BRPANGLE_RN,STORAGE,COASTAL,2020,10
BRP BRAZORIA (DGR),BRP_BRAZ_UNIT1,BRP_BRAZ_RN,STORAGE,COASTAL,2020,10
BRP DICKINSON (DGR),BRP_DIKN_UNIT1,BRP_DIKN_RN,STORAGE,HOUSTON,2021,10
BRP HEIGHTS (DGR),BRHEIGHT_UNIT1,BRHEIGHT_RN,STORAGE,HOUSTON,2020,10
BRP MAGNOLIA (DGR),BRPMAGNO_UNIT1,BRPMAGNO_RN,STORAGE,HOUSTON,2020,10
BRP SWEENY (DGR),BRP_SWNY_UNIT1,BRP_SWNY_RN,STORAGE,COASTAL,2021,10
BRP ODESSA SW (DGR),BRPODESA_UNIT1,ODESW_RN,STORAGE,WEST,2020,10
CASTLE GAP BATTERY,CASL_GAP_BATTERY1,CASL_GAP_UN1,STORAGE,WEST,2019,9.9
COMMERCE ST ESS (DGR),X443ESS1_SWRI,X443ESRN,STORAGE,SOUTH,2020,10
EUNICE STORAGE,EUNICE_BES1,EUNICE_ALL,STORAGE,WEST,2021,40.3
FLAT TOP BATTERY (DGR),FLTBES_BESS1,FLTBES1,STORAGE,WEST,2020,9.9
FLOWER VALLEY BATTERY (DGR),FLVABES1_FLATU1,FLVABES1_ESR,STORAGE,WEST,2021,9.9
GAMBIT BATTERY,GAMBIT_BESS1,GAMBIT_RN,STORAGE,COASTAL,2021,100
HOEFSROAD BESS (DGR),HRBESS_BESS,HRBESS_BESS,STORAGE,WEST,2021,2
INADALE ESS,INDL_ESS,IND_INADALE1,STORAGE,WEST,2018,9.9
JOHNSON CITY BESS (DGR),JC_BAT_UNIT_1,JC_BAT_RN,STORAGE,SOUTH,2020,2.3
NOTREES BATTERY FACILITY,NWF_NBS,NWF_NWF1,STORAGE,WEST,2013,33.7
OCI ALAMO 1,OCI_ALM1_ASTRO1,RN_OCI_ALAMO,STORAGE,SOUTH,2016,1
PORT LAVACA BATTERY (DGR),PTLBES_BESS1,PTLBES_BESS1,STORAGE,COASTAL,2020,9.9
PROSPECT STORAGE (DGR),WCOLLDG_BSS_U1,BSS_U1,STORAGE,COASTAL,2020,9.9
PYRON ESS,PYR_ESS,PYR_PYRON1,STORAGE,WEST,2018,9.9
RABBIT HILL ENERGY STORAGE PROJECT (DGR),RHESS2_ESS_1,RHESS2_ESS1,STORAGE,SOUTH,2020,9.9
SNYDER (DGR),SNY_BESS_UNIT1,SNY_BESS_RN,STORAGE,WEST,2021,9.9
SWOOSE BATTERY (DGR),SWOOSE1_SWOOSEU1,SWOOSE1_U1,STORAGE,WEST,2021,9.9
TOS BATTERY STORAGE (DGR),TOSBATT_UNIT1,RN_TOSBATT,STORAGE,WEST,2017,2
TRIPLE BUTTE (DGR),TRIPBUT1_BELU1,TRIPBUT1_RN,STORAGE,WEST,2021,7.5
WESTOVER BESS (DGR),WOV_BESS_UNIT1,WOV_BESS_RN,STORAGE,WEST,2021,9.9
WORSHAM BATTERY (DGR),WRSBES_BESS1,WRSBES_BESS1,STORAGE,WEST,2020,9.9
KINGSBERY ENERGY STORAGE SYSTEM,DG_KB_ESS_KB_ESS,#N/A,STORAGE,SOUTH,2017,1.5
MU ENERGY STORAGE SYSTEM,DG_MU_ESS_MU_ESS,#N/A,STORAGE,SOUTH,2018,1.5
YOUNICOS FACILITY,DG_YOUNICOS_YINC1_1,#N/A,STORAGE,SOUTH,2015,2
TOPAZ POWER PLANT*,,TOPAZ_ALL,GAS-GT,HOUSTON,2021,454.4
WEST RAYMOND (EL TRUENO) WIND,,,WIND-C,COASTAL,2021,239.8
GRIFFIN TRAIL WIND,,,WIND-O,WEST,2021,225.6
OVEJA WIND,,,WIND-O,WEST,2021,302.4
CORAZON SOLAR PHASE I,CORAZON_UNIT1,CORAZON_RN,SOLAR,SOUTH,2021,202.6
GALLOWAY 1 SOLAR,GALLOWAY_SOLAR1,GALO_RN1,SOLAR,WEST,2021,257
LILY SOLAR,LILY_SOLAR1,LILY_RN,SOLAR,NORTH,2021,147.6
WAGYU SOLAR,,,SOLAR,COASTAL,2021,120
